"nombre","ABEJORRAL","ABRIAQUI","ALEJANDRIA","AMAGA","AMALFI","ANDES","ANGELOPOLIS","ANGOSTURA","ANORI","ANTIOQUIA","ANZA","APARTADO","ARBOLETES","ARGELIA","ARMENIA","BARBOSA","BELLO","BELMIRA","BETANIA","BETULIA","BOLIVAR","BRICEÃO","BURITICA","CACERES","CAICEDO","CALDAS","CAMPAMENTO","CAÃASGORDAS","CARACOLI","CARAMANTA","CAREPA","CARMEN DE VIBORAL","CAROLINA","CAUCASIA","CHIGORODO","CISNEROS","COCORNA","CONCEPCION","CONCORDIA","COPACABANA","DABEIBA","DON MATIAS","EBEJICO","EL BAGRE","ENTRERRIOS","ENVIGADO","FREDONIA","FRONTINO","GIRALDO","GIRARDOTA","GOMEZ PLATA","GRANADA","GUADALUPE","GUARNE","GUATAPE","HELICONIA","HISPANIA","ITAGUI","ITUANGO","JARDIN","JERICO","LA CEJA","LA ESTRELLA","LA PINTADA","LA UNION","LIBORINA","MACEO","MARINILLA","MEDELLIN","MONTEBELLO","MURINDO","MUTATA","NARIÃO","NECHI","NECOCLI","OLAYA","PEÃOL","PEQUE","PUEBLORRICO","PUERTO BERRIO","PUERTO NARE-LA MAGDALENA","PUERTO TRIUNFO","REMEDIOS","RETIRO","RIONEGRO","SABANALARGA","SABANETA","SALGAR","SAN ANDRES","SAN CARLOS","SAN FRANCISCO","SAN JERONIMO","SAN JOSE DE LA MONTAÃA","SAN JUAN DE URABA","SAN LUIS","SAN PEDRO","SAN PEDRO DE URABA","SAN RAFAEL","SAN ROQUE","SAN VICENTE","SANTA BARBARA","SANTA ROSA DE OSOS","SANTO DOMINGO","SANTUARIO","SEGOVIA","SONSON","SOPETRAN","TAMESIS","TARAZA","TARSO","TITIRIBI","TOLEDO","TURBO","URAMITA","URRAO","VALDIVIA","VALPARAISO","VEGACHI","VENECIA","VIGIA DEL FUERTE","YALI","YARUMAL","YOLOMBO","YONDO-CASABE","ZARAGOZA"
"JOSE HERNAN GOMEZ GIRALDO",66,0,5,24,12,19,1,2,1,105,115,108,19,1,9,255,817,5,8,12,51,1,11,26,3,139,7,11,2,5,33,20,7,105,84,27,88,7,47,194,70,50,98,18,310,658,58,8,4,119,29,4,7,68,53,10,15,721,5,36,24,79,88,19,33,20,3,55,6953,5,1,11,0,184,241,30,16,667,3,51,51,25,3,97,163,20,1516,22,2,2,2,295,4,5,0,31,12,6,4,123,49,10,3,300,8,8,152,2,104,2,25,2,105,8,37,9,0,4,30,10,5,539,25,1,2
"CARLOS ARTURO PIEDRAHITA CARDENAS",30,1,0,33,23,5,2,0,716,16,3,93,20,1,21,21,206,2,22,2,21,1,1,237,0,126,20,1,39,4,90,5,1,800,60,10,3,1,10,70,9,6,22,181,11,184,207,12,16,16,5,2,4,26,0,27,0,166,10,0,22,13,28,18,2,3,1,14,2156,0,14,12,1,103,72,1,0,5,15,67,10,5,21,2,32,2,24,11,2,1,0,125,0,4,0,14,113,0,5,29,25,4,1,3,11,21,1,0,259,126,51,1,109,1,52,2,7,28,6,85,1,157,12,13,212
"JAIME ALBERTO GARZON ARAQUE",10,1,5,40,32,52,65,8,65,151,48,93,3,1,3,1971,621,9,421,20,341,286,5,49,0,437,11,11,4,1,290,37,24,242,110,347,53,19,17,247,477,93,10,84,8,784,247,509,2,114,36,13,24,49,193,7,55,507,8,25,277,98,191,1,27,16,30,71,9176,60,14,2,1,19,31,3,25,0,15,107,4,10,26,11,503,22,99,591,12,12,3,44,4,72,37,86,49,4,21,79,207,132,34,13,101,47,23,55,1058,25,47,267,430,170,27,3,23,63,279,0,12,44,13,19,60
"OSCAR DE JESUS HURTADO PEREZ",9,3,18,223,14,21,312,1,18,83,71,309,167,10,5,502,1023,22,187,443,84,1,25,1051,92,147,0,9,8,0,79,39,10,1142,82,17,6,52,2,243,364,9,189,271,37,981,112,61,18,78,107,7,1,353,20,7,8,915,232,46,54,127,143,278,25,7,55,19,8195,0,16,90,9,24,115,5,10,35,233,358,395,6,13,5,85,2,316,24,4,16,2,41,6,597,6,39,78,14,6,15,18,24,39,13,18,22,303,7,316,1115,192,40,170,11,81,7,17,73,15,24,14,173,11,7,36
"MARIA ELIZABET GARCIA PULGARIN",8,0,0,1,3,14,3,0,14,3,1,18,6,1,0,6,40,0,2,0,4,0,1,41,0,12,4,0,0,7,7,4,1,48,10,4,0,0,7,8,1,2,1,14,2,39,12,2,1,3,4,0,1,10,1,7,2,95,1,5,6,8,10,0,3,6,2,9,331,1,1,3,0,6,9,0,1,1,4,16,1,7,2,7,99,0,5,2,0,0,0,4,0,1,0,6,6,1,1,5,4,0,3,6,4,1,3,0,10,3,3,0,25,3,3,2,6,0,29,4,0,9,6,10,9
"GUSTAVO ALBEIRO JARAMILLO MUÃOZ",7,0,0,5,1,0,0,1,2,3,0,20,14,0,2,11,209,2,6,1,6,2,1,19,0,31,0,5,1,0,11,20,0,26,16,2,1,1,5,35,7,7,2,40,0,172,11,11,0,36,3,4,2,15,0,1,0,120,3,0,9,11,24,1,3,1,1,14,1301,1,7,4,0,7,5,0,7,0,1,5,1,4,3,7,36,0,33,2,0,3,1,1,1,7,1,7,5,12,1,15,8,2,0,0,12,28,8,1,11,3,0,2,17,0,3,4,1,1,1,8,0,6,5,1,5
"PERXIDES MARIA ROA BORJA",3,0,0,1,6,2,1,0,2,25,1,83,4,0,1,3,40,1,7,2,0,3,0,2,2,4,1,3,0,1,11,2,0,36,18,1,0,0,0,7,4,0,3,18,1,26,1,2,1,5,2,1,2,3,0,2,0,42,0,1,1,3,1,0,6,3,1,3,294,2,1,4,0,2,17,0,0,1,4,11,6,0,1,1,7,1,18,0,1,0,0,1,1,5,1,2,4,1,0,0,1,7,1,0,3,1,0,1,7,0,1,2,45,1,2,1,0,1,2,1,0,1,1,0,3
"CRISTIAN HORACIO ZULUAGA VILLA",2,0,11,13,8,2,3,0,14,9,0,39,6,0,2,28,251,3,6,20,5,1,3,8,7,44,0,1,0,0,6,15,9,32,21,2,6,4,0,27,6,291,9,5,6,161,12,6,0,52,2,6,3,15,1,0,0,127,1,1,7,10,44,1,11,0,6,19,1452,3,0,5,0,65,14,1,12,3,2,12,4,4,8,19,40,1,24,7,3,3,3,4,2,13,2,5,15,0,2,11,8,131,6,61,4,0,13,1,12,7,4,4,37,4,3,2,3,3,7,11,2,23,5,1,5
"JOHN JAIRO ROLDAN AVENDAÃO",1,29,25,37,198,14,19,20,8,45,8,642,104,8,347,105,10560,9,31,113,135,10,9,367,91,179,16,16,7,6,570,24,5,203,708,77,23,6,14,2462,8,18,32,193,8,636,206,247,8,942,39,2,9,36,2,181,61,1490,12,18,299,33,67,6,189,49,24,96,5832,12,6,104,2,220,127,88,351,23,55,211,42,0,43,21,86,29,100,7,35,2,2,823,1,38,34,15,76,33,25,31,72,30,10,12,63,32,38,66,444,30,66,5,1225,202,256,38,14,20,281,10,37,370,264,27,6
"CARMEN PALENCIA CABRALES",1,0,1,1,5,6,0,4,5,3,0,521,76,0,3,11,193,8,8,5,5,4,2,20,1,8,0,2,3,1,92,11,2,42,175,26,0,1,2,34,11,2,2,38,1,106,8,4,4,8,0,0,1,5,1,1,5,51,5,1,13,11,13,2,5,9,3,8,590,2,4,92,0,11,164,2,7,2,4,35,4,1,4,1,13,3,17,0,3,4,1,9,4,40,4,7,44,2,4,5,14,5,2,1,6,1,1,2,15,0,3,4,175,3,2,2,1,3,2,10,2,12,3,15,11
