"nombre","AFRICA","ALEMANIA","ARGENTINA","ARUBA","AUSTRALIA","AUSTRIA","BELGICA","BOLIVIA","BRASIL","CANADA","CHILE","CHINA REPUBLICA POPULAR","CHIPRE","COREA DEL SUR","COSTA RICA","CUBA","CURAZAO","DINAMARCA","ECUADOR","EGIPTO","EL SALVADOR","EMIRATOS ARABES UNIDOS","ESPAÃA","ESTADOS UNIDOS","FILIPINAS","FINLANDIA","FRANCIA","GRECIA","GUATEMALA","HOLANDA","HONDURAS","INDIA","INDONESIA","INGLATERRA","IRLANDA","ISRAEL","ITALIA","JAMAICA","JAPON","KENIA","LIBANO","MALASIA","MARRUECOS","MEXICO","NICARAGUA","NORUEGA","NUEVA ZELANDIA","PANAMA","PARAGUAY","PERU","POLONIA","PORTUGAL","PUERTO RICO","REPUBLICA DOMINICANA","RUSIA","SUDAFRICA","SUECIA","SUIZA","TAILANDIA","TRINIDAD Y TOBAGO","TURQUIA","URUGUAY","VENEZUELA"
"PARTIDO OPCION CIUDADANA",1,0,2,2,2,0,1,0,6,9,8,0,0,0,6,0,0,0,6,0,0,0,24,64,0,0,3,0,1,0,0,1,0,5,0,1,7,0,1,0,1,1,0,9,0,0,0,3,1,8,1,0,0,4,0,0,0,0,0,0,0,0,121
"SOLO LISTA PARTIDO OPCION CIUDADANA",0,0,1,1,1,0,0,0,4,3,5,0,0,0,3,0,0,0,1,0,0,0,16,39,0,0,0,0,0,0,0,1,0,2,0,1,6,0,1,0,1,0,0,4,0,0,0,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,66
"JOSE RANSES DIAZ LEON",1,0,1,1,1,0,1,0,2,6,3,0,0,0,3,0,0,0,5,0,0,0,8,25,0,0,3,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,5,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,55
"PARTIDO CAMBIO RADICAL",1,7,17,28,29,0,8,5,8,63,27,4,0,4,26,0,5,1,66,4,6,8,176,297,0,0,18,0,1,5,4,0,1,31,0,1,12,0,1,1,29,0,1,20,1,0,1,34,2,22,0,4,3,9,0,0,4,7,2,4,0,2,1201
"SOLO LISTA PARTIDO CAMBIO RADICAL",1,3,11,12,23,0,6,4,3,30,14,3,0,1,17,0,4,1,42,0,5,3,54,126,0,0,6,0,0,2,2,0,0,14,0,1,7,0,1,0,16,0,0,14,0,0,1,13,1,11,0,3,2,8,0,0,1,1,2,2,0,2,145
"JULIAN HOYOS SALCEDO",0,3,2,7,5,0,2,0,3,21,8,1,0,3,1,0,1,0,15,0,1,1,30,96,0,0,2,0,1,3,1,0,1,6,0,0,0,0,0,1,2,0,1,4,0,0,0,15,1,4,0,1,0,1,0,0,0,2,0,0,0,0,97
"JAIRO ALFONSO AGUILAR OCANDO",0,0,3,8,0,0,0,0,2,5,3,0,0,0,3,0,0,0,0,4,0,3,10,23,0,0,3,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,0,1,1,0,0,3,0,5,0,0,1,0,0,0,1,3,0,2,0,0,883
"JAVIER GRISALES MEJIA",0,1,1,1,1,0,0,1,0,7,2,0,0,0,5,0,0,0,9,0,0,1,82,52,0,0,7,0,0,0,0,0,0,11,0,0,1,0,0,0,2,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,2,1,0,0,0,0,76
"PARTIDO ALIANZA VERDE",1,42,61,17,58,19,23,3,11,203,39,10,0,1,53,3,8,5,84,0,18,7,455,361,2,3,109,0,8,15,2,7,9,67,5,2,31,0,4,0,2,1,0,45,9,3,11,37,3,42,2,4,3,11,3,6,22,36,6,2,5,7,1049
"SOLO LISTA PARTIDO ALIANZA VERDE",1,30,36,5,38,12,10,3,9,122,22,9,0,1,34,3,3,3,64,0,16,4,176,211,1,1,75,0,6,8,2,6,4,43,5,1,19,0,1,0,2,1,0,29,9,3,9,29,1,20,1,2,3,6,2,5,7,23,5,2,4,5,185
"ROSA YOLANDA VILLAVICENCIO MAPY",0,9,13,5,12,6,10,0,0,57,13,1,0,0,12,0,3,2,14,0,2,2,224,92,1,2,26,0,2,6,0,1,4,20,0,1,8,0,2,0,0,0,0,10,0,0,0,4,2,12,0,2,0,3,0,1,12,9,1,0,1,1,75
"CARLOS ARTURO ANGULO MIRET",0,1,6,4,3,0,1,0,2,10,1,0,0,0,2,0,2,0,2,0,0,0,26,15,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,0,0,0,2,0,0,0,2,0,0,0,1,730
"MANUEL JOSE VIVES HENRIQUEZ",0,2,6,3,5,1,2,0,0,14,3,0,0,0,5,0,0,0,4,0,0,1,29,43,0,0,6,0,0,0,0,0,1,3,0,0,4,0,1,0,0,0,0,4,0,0,1,3,0,6,1,0,0,0,1,0,3,2,0,0,0,0,59
"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,3,1,2,1,0,0,0,0,5,5,1,0,0,5,0,0,0,6,0,0,0,16,92,0,0,2,0,0,1,1,0,1,5,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1234
"SOLO LISTA PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,1,0,1,0,0,0,0,0,3,2,0,0,0,2,0,0,0,3,0,0,0,8,15,0,0,2,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,93
"FRANCISCO ANTONIO BERNIER QUINTERO",0,1,1,1,0,0,0,0,0,2,3,0,0,0,3,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093
"YOLANDA NARANJO TAMAYO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
"JENNY MARGARITA MANSUR CAMARGO",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25
"MOVIMIENTO "" MIRA """,0,47,114,61,17,15,9,27,13,351,241,4,0,0,276,0,12,8,1322,0,0,26,4458,2194,0,1,140,0,2,64,1,1,1,276,2,12,49,0,2,0,0,0,0,80,3,3,0,116,4,68,1,2,11,60,1,0,41,66,0,1,2,21,1591
