"nombre","ALCALA","ANDALUCIA","ANSERMANUEVO","ARGELIA","BOLIVAR","BUENAVENTURA","BUGA","BUGALAGRANDE","CAICEDONIA","CALI","CALIMA (DARIEN)","CANDELARIA","CARTAGO","DAGUA","EL AGUILA","EL CAIRO","EL CERRITO","EL DOVIO","FLORIDA","GINEBRA","GUACARI","JAMUNDI","LA CUMBRE","LA UNION","LA VICTORIA","OBANDO","PALMIRA","PRADERA","RESTREPO","RIOFRIO","ROLDANILLO","SAN PEDRO","SEVILLA","TORO","TRUJILLO","TULUA","ULLOA","VERSALLES","VIJES","YOTOCO","YUMBO","ZARZAL"
"FERNANDO FORERO CRUZ",23,52,38,18,17,229,155,43,172,2775,11,215,273,71,21,28,103,21,46,32,78,142,51,74,84,66,272,88,32,27,63,42,522,24,19,333,12,75,19,14,128,119
"JOHN ALEXANDER LOPEZ BENAVIDES",11,2,6,0,8,94,104,10,19,1298,15,48,43,14,6,2,43,4,48,12,19,84,12,21,9,2,383,88,25,9,6,5,22,12,4,78,5,1,8,22,280,30
"ANA CRISTINA PAZ CARDONA",10,9,8,3,9,260,1576,15,214,7018,172,148,140,51,12,5,632,35,596,52,120,582,194,105,111,2,1993,708,151,48,110,35,158,55,8,469,2,3,160,30,6823,23
"MARIA DEL CARMEN SARRIA MATERON",4,1,1,0,11,21,22,5,5,376,3,20,5,5,2,1,7,1,15,2,1,15,3,1,4,0,79,10,0,4,1,2,6,2,3,23,0,2,1,1,12,2
"EDUARDO LLANO CAMACHO",4,8,5,0,5,55,222,14,8,3443,3,102,44,9,0,1,28,13,16,8,17,102,4,6,2,2,517,91,4,7,6,7,9,1,2,138,1,1,12,9,83,7
"KATERINE OLIVEROS MEJIA",3,8,16,8,19,53,56,11,33,1013,4,32,50,20,4,10,19,1,39,3,9,37,9,12,8,6,96,13,10,4,22,0,16,1,7,57,1,0,2,5,110,18
"ORLANDO RIASCOS OCAMPO",2,3,12,0,45,50,114,13,29,2877,8,53,61,6,2,8,6,1,97,20,4,79,5,4,2,1,129,14,1,5,16,10,10,15,16,211,0,13,3,6,64,8
"SOFI GUIOMAR OSPINA COLLAZOS",1,1,3,1,0,33,29,0,7,984,4,26,17,2,0,1,10,0,18,3,4,71,3,7,1,2,81,14,0,4,6,2,5,2,6,56,0,9,17,3,52,4
"JOSE ARBEY ALZATE URIBE",1,5,7,5,2,24,21,3,9,400,3,36,21,30,8,3,10,0,11,4,7,11,4,15,6,5,277,10,2,11,6,0,6,6,3,39,3,7,2,9,26,12
"FERNANDO NAVARRO RODRIGUEZ",1,2,2,1,2,34,144,10,4,894,29,23,17,5,1,1,34,2,11,6,18,30,3,5,1,5,76,8,25,5,8,21,6,0,0,276,0,0,18,596,26,4
"FREDY MURILLO VALENCIA",0,0,0,1,0,26,26,0,4,599,1,9,10,0,0,0,5,0,12,0,2,14,1,1,2,0,30,2,1,1,3,0,4,1,0,25,0,0,1,1,75,3
"POLO DEMOCRATICO ALTERNATIVO",56,197,488,22,70,1337,1197,311,129,27809,203,1160,1414,154,52,40,1183,42,848,138,421,902,53,133,63,50,3595,724,60,748,168,102,322,71,230,2155,27,47,89,91,1715,236
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",11,26,47,5,14,248,224,53,38,4743,29,222,261,30,13,10,241,12,149,27,85,164,12,37,13,11,750,169,6,116,31,11,70,10,26,350,9,11,23,9,254,47
"WILSON NEBER ARIAS CASTILLO",28,53,33,4,22,519,550,161,38,16417,85,408,419,63,16,8,268,15,256,60,79,488,24,55,22,18,1523,156,42,39,96,41,93,21,29,708,9,15,49,26,1104,108
"UBIER ANTONIO PINILLA GIL",5,45,35,0,1,44,27,15,15,614,50,26,55,14,9,10,45,0,23,3,9,19,1,8,6,3,75,20,0,276,3,5,76,6,121,277,3,4,3,30,44,20
"CESAR ORLANDO COLLAZOS RICO",3,11,5,4,21,38,184,6,13,649,5,20,69,7,3,2,27,0,29,6,7,33,2,6,4,9,69,20,5,4,11,0,14,7,9,43,0,4,0,8,27,4
