"nombre","AGUA DE DIOS","ALBAN","ANAPOIMA","ANOLAIMA","APULO","ARBELAEZ","BELTRAN","BITUIMA","BOJACA","CABRERA","CACHIPAY","CAJICA","CAPARRAPI","CAQUEZA","CARMEN DE CARUPA","CHAGUANI","CHIA","CHIPAQUE","CHOACHI","CHOCONTA","COGUA","COTA","CUCUNUBA","EL COLEGIO","EL PEÃON","EL ROSAL","FACATATIVA","FOMEQUE","FOSCA","FUNZA","FUQUENE","FUSAGASUGA","GACHALA","GACHANCIPA","GACHETA","GAMA","GIRARDOT","GRANADA","GUACHETA","GUADUAS","GUASCA","GUATAQUI","GUATAVITA","GUAYABAL DE SIQUIMA","GUAYABETAL","GUTIERREZ","JERUSALEN","JUNIN","LA CALERA","LA MESA","LA PALMA","LA PEÃA","LA VEGA","LENGUAZAQUE","MACHETA","MADRID","MANTA","MEDINA","MOSQUERA","NARIÃO","NEMOCON","NILO","NIMAIMA","NOCAIMA","PACHO","PAIME","PANDI","PARATEBUENO (LA NAGUAYA)","PASCA","PUERTO SALGAR","PULI","QUEBRADANEGRA","QUETAME","QUIPILE","RICAURTE","SAN ANTONIO DEL TEQUENDAMA","SAN BERNARDO","SAN CAYETANO","SAN FRANCISCO","SAN JUAN DE RIOSECO","SASAIMA","SESQUILE","SIBATE","SILVANIA","SIMIJACA","SOACHA","SOPO","SUBACHOQUE","SUESCA","SUPATA","SUSA","SUTATAUSA","TABIO","TAUSA","TENA","TENJO","TIBACUY","TIBIRITA","TOCAIMA","TOCANCIPA","TOPAIPI","UBALA","UBAQUE","UBATE","UNE","UTICA","VENECIA","VERGARA","VIANI","VILLAGOMEZ","VILLAPINZON","VILLETA","VIOTA","YACOPI","ZIPACON","ZIPAQUIRA"
"SOLO LISTA PARTIDO CAMBIO RADICAL",137,23,76,49,56,14,51,17,39,13,57,105,67,25,13,31,411,26,27,50,103,145,13,99,47,112,349,27,19,905,17,231,38,99,29,4,576,18,121,56,51,11,9,15,7,9,46,27,91,130,63,48,80,29,19,281,12,42,696,11,37,47,16,28,78,5,13,57,34,63,32,5,12,46,68,59,35,20,26,55,36,30,233,91,31,1142,86,108,71,18,25,27,74,28,182,108,16,7,159,174,103,69,18,88,64,15,24,28,40,4,27,52,57,193,31,142
"JORGE ENRIQUE ROZO RODRIGUEZ",925,35,293,29,266,79,97,14,53,21,93,109,48,118,25,49,503,134,260,72,86,223,10,487,223,111,1112,83,40,247,28,301,256,87,154,75,2209,17,107,172,88,7,23,3,28,14,56,21,185,289,46,21,210,155,8,1360,1,25,278,37,127,593,88,11,210,71,45,262,243,61,283,41,14,114,95,57,69,121,57,135,15,49,2559,209,20,1714,81,42,103,21,40,14,456,32,562,153,4,1,215,200,191,64,24,140,413,22,27,223,107,11,50,109,69,786,74,592
"GLORIA BETTY ZORRO AFRICANO",278,6,126,56,105,45,16,34,20,9,72,113,30,28,11,2,160,22,24,37,25,83,10,163,113,12,171,35,8,77,5,137,12,24,13,22,1052,188,17,33,32,9,3,7,3,1,25,21,28,103,121,11,192,12,109,115,12,27,123,8,41,82,3,36,141,9,65,24,28,12,13,4,15,17,103,146,83,56,41,12,23,22,198,76,7,5928,15,45,359,4,15,8,40,21,28,42,21,7,113,152,25,30,82,117,60,8,13,8,98,4,5,51,74,124,18,339
"JORGE EMILIO REY ANGEL",138,312,79,210,183,46,332,253,464,272,287,234,356,146,52,431,1166,17,98,214,44,786,28,854,121,1189,1554,43,25,14306,140,714,88,721,93,29,2870,20,655,132,208,247,99,140,4,209,85,196,345,576,160,410,265,358,62,1933,51,312,8524,36,183,101,68,204,690,78,88,71,116,242,44,33,12,310,155,409,346,148,272,425,159,230,432,357,356,977,162,678,100,130,410,167,141,170,407,536,130,59,615,1117,658,482,38,344,178,206,179,64,99,20,159,251,145,463,274,740
"ALFONSO JOSE MARTINEZ SALAZAR",12,3,5,11,23,3,0,0,18,0,10,14,1,8,2,2,77,3,3,3,11,11,3,14,3,11,218,0,0,41,1,33,0,3,3,0,41,3,7,24,11,2,2,2,5,2,4,2,8,16,11,6,15,2,3,60,0,0,60,1,9,3,5,10,5,0,0,8,5,17,1,2,1,2,9,3,3,3,15,2,8,13,14,7,7,204,7,14,15,2,2,0,26,2,7,13,0,0,13,38,3,2,1,3,1,0,1,2,4,0,2,90,3,3,4,29
"MARIA MAGDALENA ALBARRACIN",11,12,16,22,12,11,2,4,12,8,11,14,6,12,1,7,39,10,4,6,15,20,1,29,3,14,71,4,1,57,3,179,3,52,11,2,83,15,11,14,8,1,2,3,7,7,3,1,13,62,9,4,20,16,7,58,3,10,73,3,3,28,0,1,11,10,3,26,11,12,6,5,5,27,17,8,14,6,4,21,9,8,16,35,4,279,13,12,11,6,0,2,13,8,11,5,10,4,27,22,9,2,0,23,17,3,0,9,1,2,2,3,29,5,6,16
"JAVIER ANTONIO GARZON RODRIGUEZ",8,3,6,3,5,5,0,0,2,0,2,29,4,3,25,2,120,2,3,4,2380,13,6,8,12,13,47,4,1,56,7,47,0,25,3,0,49,2,4,9,7,1,4,0,1,0,0,1,10,17,6,5,2,9,3,48,0,1,63,0,65,2,1,1,22,1,0,4,6,17,0,1,0,5,2,7,11,32,3,3,3,2,24,7,15,197,22,18,11,18,1,40,19,33,14,11,4,0,17,34,7,3,0,85,2,2,0,0,4,0,2,3,3,8,0,380
"BRIGITTE ERLYNG LEAL MATALLANA",5,0,5,16,1,0,0,2,5,1,2,13,1,1,0,1,32,1,1,0,16,4,4,7,1,8,32,1,0,42,0,11,2,5,2,2,32,8,13,2,5,0,0,2,0,0,2,2,6,6,2,2,12,5,0,46,0,1,38,1,8,3,0,1,5,1,2,3,2,2,2,1,1,2,4,7,8,3,4,1,5,4,20,4,5,161,7,3,13,0,0,3,5,3,5,6,4,0,2,27,13,2,3,8,1,0,3,1,2,1,2,5,0,2,0,15
"PARTIDO DE LA U",557,271,327,836,623,427,71,152,253,81,607,5236,110,224,319,431,5822,374,357,374,806,1044,244,1075,216,724,6806,187,187,725,255,10721,203,1112,380,83,2503,527,571,3111,454,197,129,183,636,100,179,162,1339,1338,559,91,683,785,171,2652,520,434,1140,286,1091,609,377,289,669,1064,229,1038,388,695,223,62,637,452,657,273,331,679,484,482,556,782,820,1333,452,8139,834,517,959,288,147,139,1076,385,311,1462,389,121,585,2193,60,180,152,1153,642,113,75,197,261,197,285,979,460,362,298,13697
"SOLO LISTA PARTIDO DE LA U",37,21,81,81,56,53,11,10,22,12,90,280,33,64,23,24,523,83,33,50,67,154,28,97,35,124,540,50,19,122,19,656,41,79,75,21,264,29,76,325,100,13,19,17,31,11,44,32,139,184,108,25,75,56,17,335,44,41,232,4,70,29,61,26,65,44,13,111,19,100,10,20,31,71,94,51,44,26,42,49,93,62,74,98,44,1248,110,90,97,19,13,14,106,38,24,170,38,19,99,206,24,47,32,114,52,11,11,68,23,28,51,99,90,123,22,453
