"dane","municipio","departamento","potencial","total","senado.nal","senado.ind","blancos","sin.marcar","nulos","abstencion","CAMBIO RADICAL","CDMFCG","CONSERVADORES","LA U","LIBERALES","MIRA","PDA","POC","VERDES","validos"
5315,"GUADALUPE","Antioquia",5519,2130,1755,21,71,186,168,61.4060518209821," 32"," 92","478"," 94","938"," 17"," 12","  6"," 15",1847
5318,"GUARNE","Antioquia",28656,13573,10447,354,826,1090,1682,52.6347012841988," 215","3211","1620","2594"," 792","  62"," 488"," 434"," 205",11627
5321,"GUATAPE","Antioquia",5987,3616,3180,20,135,207,209,39.6024720227159,"  63"," 642"," 599","1548","  72","   2","  84","   7","  28",3335
5347,"HELICONIA","Antioquia",5825,2269,1789,27,68,246,207,61.0472103004292," 19","265","777","335","263","  7"," 43","  3","  9",1884
5353,"HISPANIA","Antioquia",5050,2195,1904,14,60,145,132,56.5346534653465," 99","340","594","125","503","115"," 36"," 12"," 20",1978
5360,"ITAGUI","Antioquia",229277,89017,73934,1741,5953,3638,9704,61.1749106975405," 2593","20388","28181"," 3091"," 5184"," 2004"," 3896","  567"," 2077",81628
5361,"ITUANGO","Antioquia",16871,3633,2537,55,158,687,354,78.4660067571572," 318"," 271","1159","  71"," 358","  37","  91","  19","  55",2750
5364,"JARDIN","Antioquia",11344,5137,3918,365,212,514,340,54.716149506347,"  78","1286","1639"," 216"," 161","  10"," 201","  42","  73",4495
5368,"JERICO","Antioquia",10958,4394,3573,70,168,336,415,59.9014418689542," 107","1091"," 552"," 437","1022","  43","  99","   9","  45",3811
5376,"LA CEJA","Antioquia",40831,19236,15467,462,1278,1069,2238,52.8887364992285," 486","6028","1959","3555","1047","  96"," 661"," 102"," 255",17207
5380,"LA ESTRELLA","Antioquia",47167,19851,16203,465,1299,945,2238,57.9133716369496," 883","4035","4039","2616","1778"," 205"," 673","  91"," 584",17967
5390,"LA PINTADA","Antioquia",6043,2552,2054,32,75,268,198,57.7693198742347,"142","860","197","317","379","  6"," 40"," 20"," 18",2161
5400,"LA UNION","Antioquia",15194,6790,5539,104,314,497,650,55.3113070949059," 418","1817","1161"," 428"," 910","  27"," 218","  21"," 225",5957
5411,"LIBORINA","Antioquia",8827,3910,3386,23,89,286,215,55.7040897247083,"  30"," 616","2098","  45"," 372","  10","  83","  23","  20",3498
5425,"MACEO","Antioquia",7184,2506,1981,30,65,281,214,65.1169265033408," 43","556","593","133","493"," 10"," 59"," 12"," 17",2076
5440,"MARINILLA","Antioquia",36085,15225,12293,339,880,912,1681,57.807953443259,"1030","4227","1505","2366"," 829"," 221"," 690"," 153"," 392",13512
5001,"MEDELLIN","Antioquia",1407617,585384,473440,12790,43376,23490,75664,58.4131194778125," 17392","204467"," 55562"," 34000"," 53344","  9928"," 32985","  3619"," 18767",529606
5467,"MONTEBELLO","Antioquia",5905,2031,1504,22,78,337,168,65.6054191363252," 18","620","253"," 78","405"," 13"," 24","  2"," 13",1604
5475,"MURINDO","Antioquia",2492,902,668,85,7,80,69,63.8041733547352," 10","  8","298","  5","291","  3","  7","  1"," 38",760
5480,"MUTATA","Antioquia",11932,3078,2271,107,69,369,331,74.203821656051,"248","330","490","453","571"," 47"," 27","  9"," 27",2447
5483,"NARIÃO","Antioquia",8874,3803,2880,18,29,538,367,57.1444669821952,"  12"," 983","1432"," 168"," 135","  15","  19","  11","  76",2927
5495,"NECHI","Antioquia",17164,6772,5304,55,82,868,545,60.5453274295036," 371"," 649","1439","1445"," 998","  27","  49"," 198","  46",5441
5490,"NECOCLI","Antioquia",30449,13511,10092,305,181,1944,1170,55.6274426089527," 504"," 728","2774","3949","1365"," 289"," 114","  67"," 121",10578
5501,"OLAYA","Antioquia",2711,1361,1164,13,37,80,104,49.797122832903," 45","184","343","326","202","  1"," 16","  6","  4",1214
5541,"PEÃOL","Antioquia",14550,5791,4808,81,221,430,472,60.1993127147766," 285"," 694"," 693","1352","1348","  15"," 134","  14","  52",5110
5543,"PEQUE","Antioquia",5594,2614,2070,35,84,298,211,53.2713621737576,"  58"," 321","  74"," 118","1350","   6","  22","   5","  32",2189
5576,"PUEBLORRICO","Antioquia",6793,2630,1816,63,67,498,253,61.2836743706757," 54","705","310","139","474","  4"," 31"," 17"," 15",1946
5579,"PUERTO BERRIO","Antioquia",33163,9680,7817,195,403,831,837,70.8108434098242," 472","2467","1682"," 795","1332","  51"," 296"," 205"," 114",8415
5585,"PUERTO NARE-LA MAGDALENA","Antioquia",11560,4762,4106,32,51,298,326,58.8062283737024,"2078"," 311"," 287"," 188"," 950","  18"," 141","  50","  32",4189
5591,"PUERTO TRIUNFO","Antioquia",11919,5136,4125,48,100,537,426,56.9091366725396," 132","1258","2150"," 183"," 168","  27","  34","  26","  47",4273
5604,"REMEDIOS","Antioquia",15786,3183,2256,66,172,413,448,79.8365640440897,"406","363","169","505","424"," 11","120"," 33"," 53",2494
5607,"RETIRO","Antioquia",13798,7095,5961,107,327,417,610,48.579504275982," 288","2120"," 849","1391"," 693","  35"," 141","  21","  96",6395
5615,"RIONEGRO","Antioquia",85971,41909,32652,1417,3192,2117,5723,51.2521664282142," 1006","12945"," 4240"," 3978"," 3414","  622"," 1920","  377","  958",37261
5628,"SABANALARGA","Antioquia",6696,2587,2102,22,42,276,187,61.3649940262844,"  18"," 290","1392","  22"," 290","   8","  19","   9","  12",2166
5631,"SABANETA","Antioquia",52812,27143,22619,371,1702,991,3162,48.6044838294327,"1493","6209","6804","1755","2338"," 292","1042","  80"," 904",24692
5642,"SALGAR","Antioquia",13000,4390,3158,22,82,678,532,66.2307692307692,"  36","1686"," 448"," 259"," 468","  41","  92","  28","  18",3262
5647,"SAN ANDRES","Antioquia",4849,1490,1069,27,58,216,178,69.2720148484224," 18","175","400"," 54","307","  7"," 14"," 17"," 19",1154
5649,"SAN CARLOS","Antioquia",12640,4638,3691,84,135,510,353,63.3069620253165,"  55"," 834","2176"," 106"," 182","  44","  98","  28","  33",3910
5652,"SAN FRANCISCO","Antioquia",5819,2278,1755,7,25,359,157,60.8523801340436,"  23"," 179","1436","  19","  16","   6","  26","   7","  18",1787
5656,"SAN JERONIMO","Antioquia",11612,4486,3751,47,129,324,364,61.3675508095074,"  70"," 696"," 332","1012","1283","  85","  70","  25","  49",3927
5658,"SAN JOSE DE LA MONTAÃA","Antioquia",3055,1232,994,31,50,107,100,59.6726677577741," 18","210","411"," 32","227","  7"," 25","  5","  9",1075
5659,"SAN JUAN DE URABA","Antioquia",15449,6548,4994,88,61,856,610,57.6153796362224," 753"," 209"," 902","1478"," 882","  53","  66"," 521","  69",5143
5660,"SAN LUIS","Antioquia",9902,3670,2811,29,120,528,302,62.9367804483943," 108"," 718","1140"," 415"," 114","  34","  42","  33","  87",2960
5664,"SAN PEDRO","Antioquia",17522,7016,5613,131,397,491,781,59.9589088003653," 252","1759","2211"," 111"," 580","  38"," 148","  10"," 107",6141
5665,"SAN PEDRO DE URABA","Antioquia",23434,9938,7192,96,135,1362,1288,57.5915336690279," 401"," 700","2701","2254"," 776","  27","  81","  47","  70",7423
5667,"SAN RAFAEL","Antioquia",11675,4839,3851,50,142,589,349,58.5524625267666,"  96"," 560","2654"," 208","  66","   7","  70","  10","  38",4043
5670,"SAN ROQUE","Antioquia",13711,5213,4031,59,129,635,488,61.9794325723871,"  93","1092","2145"," 221"," 176","  17","  79","  12","  67",4219
5674,"SAN VICENTE","Antioquia",15694,6885,5460,76,232,731,618,56.1297311074296,"  75","1794","1300"," 938"," 819","  87"," 107","  34","  74",5768
5679,"SANTA BARBARA","Antioquia",21317,7389,6159,156,395,519,555,65.3375240418445," 108","1470"," 639","1615","1480","  40"," 342","  21","  49",6710
5686,"SANTA ROSA DE OSOS","Antioquia",23790,11049,8526,208,579,1013,1302,53.5561160151324," 140","1807","3918","1425"," 310","  21"," 192","  42","  92",9313
5690,"SANTO DOMINGO","Antioquia",8442,3657,2817,38,128,464,338,56.680881307747,"  28"," 540","1365"," 483"," 149","  20","  49","  17","  38",2983
5697,"SANTUARIO","Antioquia",25061,11527,9391,138,464,1063,935,54.0042296795818," 298","3056","3217","1334"," 417","  29"," 366","  79"," 131",9993
5736,"SEGOVIA","Antioquia",24113,4393,3329,202,277,398,464,81.7816115788164,"685","425","338","240","768"," 71","301","146"," 78",3808
5756,"SONSON","Antioquia",26805,9847,7413,144,384,1173,1117,63.2643163588883," 214","3825","2013"," 333"," 288","  38"," 193","  34","  91",7941
5761,"SOPETRAN","Antioquia",11410,4852,3791,50,140,501,510,57.475898334794,"  85"," 599"," 902","1135"," 679","  78","  87","  11","  75",3981
5789,"TAMESIS","Antioquia",14140,6464,5279,76,170,603,506,54.2857142857143," 280"," 859","2281","1198"," 191","  45"," 177","  16","  62",5525
5790,"TARAZA","Antioquia",24887,7396,5643,58,130,864,831,70.2816731626954," 142"," 262","2012"," 358","2501","  19"," 132","  62","  25",5831
5792,"TARSO","Antioquia",5642,2650,2137,12,64,309,192,53.0308401276143," 21","324","214","489","982","  5"," 23","  6","  9",2213
5809,"TITIRIBI","Antioquia",8606,2864,2181,42,118,328,313,66.7208924006507," 44","556","437","418","520"," 16"," 41","  5"," 26",2341
5819,"TOLEDO","Antioquia",4171,1137,707,20,62,268,142,72.7403500359626," 26","120","133"," 53","272","  4"," 15","  8"," 14",789
5837,"TURBO","Antioquia",78638,28982,21725,631,870,3407,3219,63.1450443805794,"1010","5017","3707","4696","4602"," 595"," 454"," 262"," 512",23226
5842,"URAMITA","Antioquia",5977,2258,1800,21,37,271,166,62.2218504266354,"103","111","906"," 38","568","  5"," 13","  9"," 10",1858
5847,"URRAO","Antioquia",20900,6577,4901,189,351,879,608,68.5311004784689," 142","1601"," 342","1348"," 807","  31","  88","  18"," 173",5441
5854,"VALDIVIA","Antioquia",11512,3284,2640,17,47,393,234,71.4732453092425,"  62"," 122","1405","  24"," 914","   5","  30","  18","  13",2704
5856,"VALPARAISO","Antioquia",5658,1989,1534,104,57,187,164,64.8462354188759," 55","374","714"," 77","159","  9"," 52","  4"," 33",1695
5858,"VEGACHI","Antioquia",9947,3125,2305,46,121,573,201,68.5834925103046,"208","599","816"," 96","370","  9"," 56","  5"," 25",2472
5861,"VENECIA","Antioquia",10626,4193,3315,36,102,403,439,60.5401844532279," 106"," 797"," 438"," 693","1075","  15","  54","   5","  30",3453
5873,"VIGIA DEL FUERTE","Antioquia",4967,2817,2200,87,9,230,300,43.2856855244614,"  64","  18"," 358"," 538","1177","   5","   6","   9","  16",2296
5885,"YALI","Antioquia",5459,1737,1334,38,48,243,122,68.1809855284851,"128","231","272","475","129","  3"," 27","  9"," 12",1420
5887,"YARUMAL","Antioquia",31908,9783,7826,207,532,877,873,69.339977435126," 196","2433","1874","1059","1284","  37"," 213","  20"," 178",8565
5890,"YOLOMBO","Antioquia",15516,4841,3742,40,126,530,529,68.7999484403197," 103"," 684","1019","1048"," 566","  35","  94","  22","  45",3908
5893,"YONDO-CASABE","Antioquia",10830,4195,3324,40,106,431,400,61.2650046168052,"280","618","301","263","710","185","180","107","574",3470
5895,"ZARAGOZA","Antioquia",17789,5753,3728,76,135,1197,752,67.6597897577154," 625"," 344"," 588"," 609","1145","  20"," 154","  57","  51",3939
81001,"ARAUCA","Arauca",61997,29827,24877,333,1066,1879,2738,51.8896075616562," 2065","11293"," 1060"," 3933"," 3009","  795","  693","  246","  717",26276
81065,"ARAUQUITA","Arauca",24683,10431,7664,180,380,1895,692,57.7401450390957," 558","1011"," 387","1836","1018"," 130"," 366"," 128","1850",8224
81220,"CRAVO NORTE","Arauca",3385,1651,1384,29,33,185,53,51.2259970457903," 90","678"," 52","386"," 82","  8"," 23","  9"," 23",1446
81300,"FORTUL","Arauca",9752,3634,2499,102,160,630,403,62.7358490566038," 45","233","123","352","780","155","305"," 52","294",2761
81591,"PUERTO RONDON","Arauca",3462,1620,1358,38,32,147,77,53.2062391681109," 92","563"," 55","484"," 81"," 15","  9"," 13"," 14",1428
81736,"SARAVENA","Arauca",28526,11286,8494,273,685,1170,1349,60.4360933884877," 418","1801","1037","1464","1841"," 420"," 265"," 130"," 433",9452
81794,"TAME","Arauca",29219,13630,10821,172,456,1818,819,53.3522707827099," 654","3355"," 415","1705","2469"," 500"," 344"," 201"," 722",11449
8078,"BARANOA","Atlántico",43982,30615,27855,156,418,1406,1198,30.3919785366741,"6494"," 509","8390","9016","2157","  45"," 468"," 174"," 184",28429
8001,"BARRANQUILLA","Atlántico",967425,451631,381618,5676,17513,25397,38940,53.3161743804429," 52955"," 31216","134975"," 81626"," 27641","  3573"," 13739","  9456","  8924",404807
8137,"CAMPO DE LA CRUZ","Atlántico",18092,9630,8561,41,35,522,506,46.7720539464957,"2729","  67","2004","2203","1374","   6","  55","  62","  26",8637
8141,"CANDELARIA","Atlántico",10608,6666,5967,14,35,388,297,37.1606334841629,"2510","  98","1544","1261"," 304","  11","  25"," 142","  37",6016
8296,"GALAPA","Atlántico",32722,19497,16918,175,478,1273,1131,40.4162337265448,"2810"," 607","6226","5255"," 787"," 111"," 271"," 201"," 172",17571
8372,"JUAN DE ACOSTA","Atlántico",17258,11735,10473,21,74,410,831,32.0025495422413," 977"," 207","3505","4902"," 552","  10","  89"," 106","  51",10568
8421,"LURUACO","Atlántico",22657,14637,13332,29,72,559,717,35.397448912036,"2920"," 183","3676","5360"," 845","  10","  61","  88"," 117",13433
8433,"MALAMBO","Atlántico",67008,39956,33864,993,923,2258,2841,40.3712989493792," 8753"," 1046"," 9423","10093"," 2062","  209","  482","  393","  480",35780
8436,"MANATI","Atlántico",12734,6876,6098,10,35,309,459,46.0028270771164,"1835"," 147","1684","1441"," 844","   5","  49","  46","  12",6143
8520,"PALMAR DE VARELA","Atlántico",19059,12483,10871,54,189,678,880,34.5033842279238,"1093"," 158","5060","2741","1159","  26"," 122","  59"," 264",11114
8549,"PIOJO","Atlántico",5683,3840,3609,4,21,104,123,32.4300545486539," 643","  29","2165"," 399"," 307","   2","   6","  25","  12",3634
8558,"POLONUEVO","Atlántico",11593,8126,7174,33,81,472,447,29.9059777451911,"1213","  64","2608","2241"," 715","   7"," 129","  74","  42",7288
8560,"PONEDERA","Atlántico",17046,11012,9736,14,96,567,695,35.3983339199812,"2215"," 256","4014","2064"," 845","  15","  57"," 134","  40",9846
8573,"PUERTO COLOMBIA","Atlántico",30297,18119,16124,460,359,692,843,40.195398884378,"3159"," 651","3622","5118","1981"," 216"," 239"," 176"," 603",16943
8606,"REPELON","Atlántico",17425,11302,10362,9,28,475,456,35.1391678622669,"1424","  84","5015","2650"," 856","   9"," 101"," 136","  59",10399
8634,"SABANAGRANDE","Atlántico",21617,14660,12981,103,302,641,935,32.18300411713,"2795"," 300","2997","3269","2894","  93"," 126","  86"," 119",13386
8638,"SABANALARGA","Atlántico",61118,43122,38640,144,515,1666,2672,29.4446807814392," 5009","  840","15387"," 9682"," 6130","   73","  372","  280","  352",39299
8675,"SANTA LUCIA","Atlántico",9136,5574,5079,10,12,207,278,38.9886164623468," 966"," 114","1226","2259"," 263","  47","  19","  21"," 152",5101
8685,"SANTO TOMAS","Atlántico",24743,16348,15067,91,268,484,706,33.9287879400234,"2609"," 312","5258","5134"," 984","  29"," 225","  94"," 154",15426
8758,"SOLEDAD","Atlántico",254776,134756,110025,1517,4273,8272,14942,47.108047853801,"17343"," 5254","33365","31776","10283"," 1342"," 2840"," 1481"," 2068",115815
8770,"SUAN","Atlántico",9207,5205,4838,5,13,128,234,43.4669273378951,"1133","  44"," 164","2759"," 647","  24","  14","  23","  17",4856
8832,"TUBARA","Atlántico",9299,6589,6064,78,36,215,232,29.1429185933971," 897","  94","2935","1647"," 313","  30","  32","  47","  33",6178
8849,"USIACURI","Atlántico",7250,5648,5200,19,31,208,221,22.0965517241379," 888","  46","1190","2084"," 852","   3","  50","  31","  25",5250
11001,"BOGOTA. D.C.","Bogotá",5188174,1844016,1533035,41119,180770,44593,225269,64.4573215933004,"134166","373798"," 86728","164221","205214"," 69218","145959"," 27389","145572",1754924
13006,"ACHI","Bolívar",15261,9003,7729,14,16,311,949,41.0064871240417,"1178"," 158"," 589","2702","2274","  10","  64"," 690","  48",7759
13030,"ALTOS DEL ROSARIO","Bolívar",6134,3491,2727,16,8,320,428,43.0877078578415,"276"," 24","169","639","637","  2"," 53","902"," 17",2751
13042,"ARENAL","Bolívar",5266,2296,2003,77,9,95,121,56.3995442461071,"356"," 21","520","195"," 81","  4"," 98","688"," 31",2089
13052,"ARJONA","Bolívar",48100,22999,18314,188,543,2036,2461,52.1850311850312,"5138","1541","3078","3868","2581","  84"," 511"," 646"," 324",19045
13062,"ARROYO HONDO","Bolívar",6401,3683,3151,6,14,165,361,42.4621152944852," 572","  81"," 518","1233"," 599","  22","  10","  87","  15",3171
13074,"BARRANCO DE LOBA","Bolívar",10525,5678,4272,32,23,663,711,46.0522565320665," 289"," 134"," 735","1387"," 414","   5","  91","1144","  50",4327
13140,"CALAMAR","Bolívar",16797,7906,6723,28,27,528,627,52.932071203191,"1682"," 124"," 623","2760"," 473","  12","  61"," 907","  54",6778
13160,"CANTAGALLO","Bolívar",5904,3308,2824,10,33,182,292,43.970189701897," 324","  43"," 443"," 160","1355","   2"," 338","  79","  47",2867
13001,"CARTAGENA","Bolívar",690128,271565,214844,3457,8177,20247,33017,60.6500533234414,"29769","30250","43273","44309","25988"," 3906","10000","13636"," 5536",226478
13188,"CICUCO","Bolívar",8601,5547,4565,10,40,385,587,35.5074991280084," 655","  41"," 655","1949"," 915","   2","  82"," 208","  18",4615
13222,"CLEMENCIA","Bolívar",9326,5772,4736,18,37,441,577,38.1085138322968," 789","  97"," 710","1913"," 743","   2","  60"," 307","  78",4791
13212,"CORDOBA","Bolívar",12841,9142,8084,12,19,333,713,28.8061677439452,"1180","  58","2854"," 519","2757","  20","  54"," 600","  23",8115
13244,"EL CARMEN DE BOLIVAR","Bolívar",50498,27402,21670,140,304,2611,2981,45.7364648104875,"2577","3714","2653","6256","4321"," 373"," 248","1051"," 173",22114
13248,"EL GUAMO","Bolívar",7005,4021,3523,5,4,185,308,42.5981441827266," 732","  69"," 292","2128"," 223","   3","  40","  13","  19",3532
