"Nombre","Partido","Amazonas","Antioquia","Arauca","Atlántico","Bogotá","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La Guajira","Magdalena","Meta","Nariño","Norte de Santander","Putumayo","Quindío","Risaralda","SanAndrés","Santander","Sucre","Tolima","Valle del Cauca","Vaupés","Vichada","Consulados"
"GERMAN RODRIGO GUZMAN ACOSTA","LIBERALES",0,123,15,19,191,26,28,25,8,5,31,7,6,14,64,0,1,9,7,55,11,50,34,8,9,18,1,59,10,134,104,1,3,2
"ROBERTO ORTIZ URUEÑA","LIBERALES",0,1086,13,147,601,130,50,213,160,14,854,58,76,47,164,6,14,227,16,84,20,538,43,29,42,1302,6,69,748,2161,25569,1,5,21
"MARIA PUBENZA ARBELAEZ SUA","LIBERALES",0,74,5,18,136,73,28,20,0,2,9,7,5,17,34,0,3,9,17,30,6,14,17,1,15,16,3,15,32,29,82,0,0,1
"CARLOS HUMBERTO PINZON MURIEL","LIBERALES",0,95,11,16,138,26,10,13,1,2,12,10,3,6,46,0,0,6,6,26,10,12,17,4,12,12,2,33,9,19,61,1,0,3
"RENNY RUEDA CASTAÑEDA","LIBERALES",0,44,6,21,147,30,16,58,4,1,18,3,10,5,22,0,1,1,8,9,7,5,10,0,7,23,2,11,14,14,41,1,0,3
"MARIO EFRAIN MUÑOZ ESPITIA","LIBERALES",0,43,2,8,104,36,16,5,2,1,16,3,2,7,26,0,1,3,7,19,5,15,7,3,2,9,1,9,95,6,49,0,0,0
"JAIME ENRIQUE BEDOYA MONTOYA","LIBERALES",0,177,1,9,70,20,11,84,2,0,9,0,10,11,15,0,1,4,2,9,8,21,9,0,6,35,4,20,31,24,22,1,0,0
"OLANO PORTELA RODRIGUEZ","LIBERALES",0,37,1,12,57,74,8,124,0,0,5,3,10,10,22,0,0,4,13,15,4,110,6,0,9,25,2,14,16,13,25,1,1,0
"CAROLINA MORALES ROJAS","LIBERALES",0,32,5,15,80,29,13,76,2,10,8,2,4,10,26,0,2,5,4,24,12,90,4,3,3,31,6,13,20,15,40,0,0,1
"NANCY DEL ROSARIO GUERRERO RODRIGUEZ","LIBERALES",0,42,3,16,84,68,5,179,1,0,5,39,11,6,33,0,2,5,15,13,5,20,32,3,4,32,0,50,11,12,68,0,0,2
"ADRIANA FRANCO CASTAÑO","LIBERALES",0,245,5,27,894,47,56,17332,6,28,22,32,525,23,353,0,9,19,192,21,15,67,35,8,64,4610,2,124,5,792,296,3,9,32
"HUGO VELEZ VALENCIA","LIBERALES",0,58,10,10,58,6,7,5,2,2,11,9,4,8,24,0,10,8,5,22,9,13,13,4,5,23,2,81,2,13,37,0,2,2
"SONIA MARINA MOSCOTE AROCA","LIBERALES",0,94,6,13,81,32,63,4,3,1,15,360,6,9,36,0,0,7,6,37,9,6,21,5,7,11,2,29,3,14,31,0,0,6
"ANLET JAQUELINE BENT ARCHBOLD","LIBERALES",0,141,2,13,94,15,13,12,1,1,18,17,2,27,30,0,2,9,11,17,10,12,11,4,7,7,15,39,4,10,30,0,0,2
"CRISTINA DEL ROSARIO CABRERA MENDEZ","LIBERALES",0,50,4,11,62,22,15,6,2,1,10,62,3,15,62,0,6,7,3,13,9,6,8,1,6,4,2,24,3,11,31,0,1,0
"ARMANDO VILLEGAS CENTENO","LIBERALES",0,50,4,63,236,218,9,55,3,2,61,109,5,14,62,0,1,7,15,22,11,11,14,2,4,15,0,31,7,28,56,0,2,1
"ARIS MANUEL TORRES DIAZ","LIBERALES",0,52,5,30,193,634,21,17,4,0,11,19,3,10,56,0,0,5,8,261,9,10,8,1,4,9,2,21,31,15,29,0,3,0
"RICARDO GARCIA GAITAN","LIBERALES",0,66,1,22,226,15,39,8,1,2,8,9,3,4,37,1,2,4,2,24,7,9,12,2,6,7,1,20,1,17,31,0,2,1
"SOLO LISTA PARTIDO CAMBIO RADICAL","CAMBIO RADICAL",473,11404,601,9537,19995,9335,2027,1528,795,1379,2150,2816,1351,1260,9093,462,69,804,3897,5059,1111,1442,1262,120,3877,2772,303,4935,2424,4023,8785,203,227,353
"ANTONIO DEL CRISTO GUERRA DE LA ESPRIELLA","CAMBIO RADICAL",190,1662,51,4465,4584,1447,349,146,203,50,94,1090,658,1280,927,2,14,162,9922,4806,3391,274,336,9,335,139,17,416,20853,822,771,98,46,28
"CARLOS FERNANDO GALAN PACHON","CAMBIO RADICAL",135,3106,514,5187,49523,839,1619,3512,79,112,224,300,128,384,4254,38,20,606,423,971,814,4269,613,207,341,880,58,3246,186,912,3307,43,247,389
"GERMAN VARON COTRINO","CAMBIO RADICAL",83,1653,252,1330,16519,678,6685,215,116,347,282,296,525,226,9808,162,34,167,104,1028,1775,3637,359,91,27101,1717,40,771,194,1766,1546,104,34,128
"BERNABE CELIS CARRILLO","CAMBIO RADICAL",54,9277,687,377,3793,2141,1388,126,26,2508,67,1075,251,402,415,1,74,463,2529,862,55,202,4297,265,24,516,6,30731,256,205,253,16,246,55
"JUAN CARLOS RESTREPO ESCOBAR","CAMBIO RADICAL",40,5173,107,927,5884,455,499,404,645,382,833,222,104,224,23934,25,15,143,265,557,277,668,649,121,1365,1253,34,1288,145,459,17140,38,162,60
"ARTURO CHAR CHALJUB","CAMBIO RADICAL",16,368,24,73666,1549,989,409,348,20,43,84,1325,514,355,732,7,4,82,3678,19465,95,33,205,7,251,348,28,765,2078,302,515,8,12,129
"ROSMERY MARTINEZ ROSALES","CAMBIO RADICAL",16,1250,434,244,4503,341,985,2040,986,72,465,150,161,537,2113,7,7,966,247,325,164,231,3635,22,98,296,6,393,42,24794,4710,7,35,38
"MARTHA ISABEL ACOSTA ANGULO","CAMBIO RADICAL",15,56,1,29,56,29,13,6,2,5,11,5,4,4,50,0,0,2,7,15,3,5,2,2,8,10,0,20,2,26,33,0,0,0
"ANGIE NATALIA BOLIVAR CORREA","CAMBIO RADICAL",13,211,16,3966,277,214,50,11,4,14,26,60,20,26,256,4,0,17,60,162,27,21,22,1,40,73,4,380,123,73,113,6,6,5
"ALFONSO ENRIQUE MATTOS BARRERO","CAMBIO RADICAL",11,1228,204,988,1805,627,140,40,14,198,160,17215,114,1289,513,3,23,56,8697,4642,441,257,357,36,74,81,120,558,292,221,1841,2,76,22
"DAIRA DE JESUS GALVIS MENDEZ","CAMBIO RADICAL",9,1050,62,2314,1208,37082,164,41,8,27,118,1964,32,2610,834,17,1,31,3987,7272,41,20,882,1,17,103,128,893,3566,180,731,0,6,27
"LUIS ENRIQUE PONTE GUERRA","CAMBIO RADICAL",8,677,6,854,192,198,197,70,40,5,332,70,55,22,118,3,4,17,29,793,12,2029,11,286,23,41,2,72,61,29,226,11,6,2
"ANDRES FERNANDO VASQUEZ VARGAS","CAMBIO RADICAL",7,103,5,77,202,76,16,8,6,12,13,738,4,18,109,0,0,14,15,59,12,10,27,1,13,16,2,92,30,52,56,1,3,5
"MARTHA INES LLOREDA DE BOTERO","CAMBIO RADICAL",6,131,7,41,185,51,17,11,0,5,10,14,4,8,75,0,1,10,29,23,5,7,6,0,11,27,2,27,6,24,68,0,0,8
"ARGEMIRO JOSE AGAMEZ PALACIO","CAMBIO RADICAL",5,2093,3,190,240,181,21,12,4,5,23,804,29,44,196,1,0,5,328,357,8,5,46,1,15,22,1,65,12,17,69,0,0,6
"GERSANIN PINZON BARRERA","CAMBIO RADICAL",5,130,5,118,188,63,21,11,7,22,11,30,8,9,124,2,1,7,31,39,176,7,14,1,4,50,2,63,108,101,79,3,10,0
"DUSAN ALBIN VELEZ TRUJILLO","CAMBIO RADICAL",4,299,16,1270,680,17826,225,182,16,10,172,208,34,314,471,6,2,13,91,983,35,59,116,6,70,85,9,326,1272,132,924,0,8,10
"CARLOS FERNANDO MOTOA SOLARTE","CAMBIO RADICAL",4,6407,592,1075,5330,2462,312,155,515,32,2102,168,501,835,1557,9,0,113,158,529,351,960,260,53,130,1807,13,455,188,360,32177,2,4,46
"STEVENSON MARULANDA PLATA","CAMBIO RADICAL",4,508,20,366,1495,157,91,153,5,22,28,1169,100,86,196,1,2,23,4810,815,39,35,176,2,79,51,7,191,34,577,622,2,8,14
"JUAN PABLO POVEDA MEDINA","CAMBIO RADICAL",4,498,13,350,1542,1441,193,108,8,32,132,34,9,60,187,0,8,64,42,159,70,88,79,22,79,203,10,356,31,126,456,0,2,18
"ARBEY DELGADO ARGOTE","CAMBIO RADICAL",4,569,28,1353,134,184,19,76,5,6,8,64,53,14,171,0,1,9,34,540,26,187,15,4,40,15,3,142,101,18,186,0,5,5
"HECTOR JULIO RAMOS PRIETO","CAMBIO RADICAL",4,143,9,205,169,64,22,22,4,11,21,32,39,14,106,2,1,5,22,68,21,14,13,3,66,385,4,46,58,53,122,3,3,1
"MIGUEL ORLANDO ACEVEDO SALAS","CAMBIO RADICAL",4,131,6,67,277,124,42,13,6,11,25,23,6,35,101,2,1,22,32,45,14,10,10,0,24,29,0,141,28,25,71,0,2,1
"CARMEN HERNANDEZ MENDIVELSO","CAMBIO RADICAL",4,74,0,51,113,28,11,7,0,3,3,7,5,19,59,0,0,3,4,25,5,2,6,0,9,7,5,19,2,4,40,0,1,1
"EDWIN YOBANY VIVAS PEREZ","CAMBIO RADICAL",4,45,3,41,63,25,499,3,1,40,4,7,5,6,50,0,1,6,2,12,5,3,12,2,7,4,0,17,0,19,19,1,0,3
"LUIS EDUARDO DIOSSA ARROYAVE","CAMBIO RADICAL",4,211,9,61,137,901,37,113,1,102,41,16,50,24,109,0,1,5,17,41,7,547,11,16,29,62,0,30,18,45,113,1,1,1
"FLOR PAULINA DONADO GARIZAO","CAMBIO RADICAL",3,84,11,211,774,34,126,8,6,5,10,16,7,1,240,0,0,6,13,28,12,22,17,0,63,11,9,53,4,48,44,2,0,4
"LUIS EDUARDO ARREDONDO TORRES","CAMBIO RADICAL",3,48,1,59,273,75,22,9,22,3,2,101,17,6,728,1,0,95,106,26,2,5,9,2,301,27,1,43,6,96,35,2,1,0
"RAUL HERACLITO MARTINEZ SANCHEZ","CAMBIO RADICAL",3,110,12,69,392,72,33,59,5,4,20,9,9,8,1114,1,0,9,24,48,39,22,14,3,22,23,2,32,16,52,97,0,2,4
"GABRIEL ANTONIO LOPEZ GUZMAN","CAMBIO RADICAL",3,109,4,75,158,39,21,15,7,5,7,11,4,20,88,2,1,10,17,19,12,7,14,2,21,32,2,55,3,23,66,0,0,6
"ANA MARIA QUINCHANEGUA PIAMONTE","CAMBIO RADICAL",3,106,4,41,182,30,14,14,5,6,16,9,5,11,51,1,0,4,9,13,6,11,9,1,12,19,0,48,7,27,60,0,0,7
"JUAN ESTEBAN MEJIA ARBOLEDA","CAMBIO RADICAL",3,1113,4,54,259,136,27,27,8,10,8,9,15,70,79,0,0,6,82,239,8,18,12,5,56,38,3,35,38,229,120,0,1,4
"EDITH LEON DE CASTAÑEDA","CAMBIO RADICAL",3,84,2,42,189,19,58,5,1,4,7,7,6,4,58,0,0,8,14,19,6,8,7,0,7,12,3,39,5,12,57,2,4,3
"JULIO CESAR CASTILLO VELASQUEZ","CAMBIO RADICAL",3,572,6,2662,533,460,58,15,29,15,10,261,20,33,244,0,6,27,3052,1398,60,15,43,3,15,44,2,147,21,27,72,3,1,503
"BRYAN BARRERA GARCIA","CAMBIO RADICAL",3,538,5,53,185,48,44,12,3,3,9,15,15,8,73,0,0,4,20,15,4,13,7,2,25,12,2,15,7,20,27,0,2,0
"HUMBERTO PELAEZ GUTIERREZ","CAMBIO RADICAL",2,121,30,755,499,469,115,96,15,37,8431,69,57,39,749,4,5,36,85,449,219,399,32,45,32,237,15,73,39,217,1249,4,11,14
"HAROLD MOSQUERA RENGIFO","CAMBIO RADICAL",2,464,20,518,295,47,54,8,5,55,79,52,1556,27,213,1,6,26,44,29,17,35,48,3,176,74,0,692,23,45,1940,1,3,4
"INGRID ESPERANZA LUGO DIAZ","CAMBIO RADICAL",2,12,0,30,120,49,7,4,0,3,2,1,4,1,15,0,0,0,2,4,4,1,6,0,4,13,0,8,1,1,12,0,0,7
